precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
23854,0084095,Ventura,Simi Valley,54,Mainstream,445,71.19
23838,0092005,Ventura,Thousand Oaks,54,Mainstream,488,73.28
23762,0084056,Ventura,Simi Valley,54,Mainstream,659,71.23
23882,0092050,Ventura,Thousand Oaks,54,Mainstream,766,76.92
24547,0092114,Ventura,Thousand Oaks,54,Mainstream,721,71.12
24350,0084046,Ventura,Simi Valley,54,Mainstream,671,70.58
24476,0039018,Ventura,Moorpark,54,Mainstream,733,70.81
24357,0084019,Ventura,Simi Valley,54,Mainstream,327,68.49
23513,0084107,Ventura,Simi Valley,55,Mainstream,640,73.14
24493,0039015,Ventura,Moorpark,55,Mainstream,517,70.14
23970,0039035,Ventura,Moorpark,55,Mainstream,609,75.97
23793,0092022,Ventura,Thousand Oaks,55,Mainstream,708,71.94
23757,0084054,Ventura,Simi Valley,55,Mainstream,748,74.65
24742,0007040,Ventura,Camarillo,55,Mainstream,616,70.07
24531,0092118,Ventura,Thousand Oaks,55,Mainstream,447,79.14
23507,0084102,Ventura,Simi Valley,55,Mainstream,490,70.37
23766,0092013,Ventura,Thousand Oaks,56,Mainstream,516,76.91
23863,0084096,Ventura,Simi Valley,56,Mainstream,728,72.77
23598,0006930,Ventura,Camarillo,56,Mainstream,476,73.09
24506,0095007,Ventura,Unincorporated,56,Mainstream,507,68.66
24029,0092087,Ventura,Thousand Oaks,57,Mainstream,454,74.88
24356,0084016,Ventura,Simi Valley,57,Mainstream,626,66.72
24521,0095001,Ventura,Unincorporated,57,Mainstream,439,77.29
24492,0039012,Ventura,Moorpark,57,Mainstream,682,69.48
23965,0039033,Ventura,Moorpark,58,Mainstream,508,66.87
23452,0084112,Ventura,Simi Valley,59,Mainstream,402,82.89
24336,0084033,Ventura,Simi Valley,59,Mainstream,630,68.56
23926,0039023,Ventura,Moorpark,59,Mainstream,554,71.48
23698,0084086,Ventura,Simi Valley,59,Mainstream,597,66.43
24517,0074001,Ventura,Unincorporated,59,Mainstream,630,79.97
24383,0084029,Ventura,Simi Valley,59,Mainstream,674,63.73
24390,0084020,Ventura,Simi Valley,59,Mainstream,477,75.7
23731,0084058,Ventura,Simi Valley,60,Mainstream,753,73.4
24359,0084011,Ventura,Simi Valley,61,Mainstream,793,74.84
24349,0084043,Ventura,Simi Valley,61,Mainstream,570,71.27
23753,0084052,Ventura,Simi Valley,61,Mainstream,518,70.46
23899,0092068,Ventura,Thousand Oaks,61,Mainstream,699,74.06
24330,0084038,Ventura,Simi Valley,61,Mainstream,525,71.75
23630,0092102,Ventura,Thousand Oaks,61,Mainstream,639,82.19
24358,0084018,Ventura,Simi Valley,62,Mainstream,621,71.96
23518,0084109,Ventura,Simi Valley,63,Mainstream,548,76.25
23642,0084073,Ventura,Simi Valley,63,Mainstream,640,74.1
24340,0084035,Ventura,Simi Valley,63,Mainstream,408,69.79
24523,0074002,Ventura,Unincorporated,64,Mainstream,601,80.34
24327,0084039,Ventura,Simi Valley,64,Mainstream,443,70.81
23485,0085000,Ventura,Unincorporated,65,Mainstream,349,78.53
23694,0084084,Ventura,Simi Valley,65,Mainstream,578,78.83
23604,0006934,Ventura,Camarillo,65,Mainstream,272,84.74
24632,0081000,Ventura,Unincorporated,66,Mainstream,720,83.7
24498,0074005,Ventura,Unincorporated,67,Moderate,549,77.82
23649,0084077,Ventura,Simi Valley,68,Moderate,435,69.71
23705,0084087,Ventura,Simi Valley,70,Moderate,195,81.62
24631,0081001,Ventura,Unincorporated,71,Moderate,440,82.28
24344,0084049,Ventura,Simi Valley,73,Moderate,588,81.56
23878,0084093,Ventura,Simi Valley,75,Moderate,721,79.25
24401,0084023,Ventura,Simi Valley,83,Moderate,380,77.32
24342,0084048,Ventura,Simi Valley,88,Moderate,542,80.66
24520,0074000,Ventura,Unincorporated,96,Moderate,365,87.11
