precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
24489,0039011,Ventura,Moorpark,42.0,Mainstream,1008.0,73.94
24504,0095008,Ventura,Unincorporated,42.0,Mainstream,502.0,65.81
24450,0090004,Ventura,Unincorporated,43.0,Mainstream,230.0,71.56
23720,0084081,Ventura,Simi Valley,43.0,Mainstream,639.0,68.63
23770,0092018,Ventura,Thousand Oaks,43.0,Mainstream,740.0,62.04
23801,0084060,Ventura,Simi Valley,43.0,Mainstream,562.0,65.15
24016,0092075,Ventura,Thousand Oaks,43.0,Mainstream,607.0,72.09
23995,0092098,Ventura,Thousand Oaks,43.0,Mainstream,542.0,72.02
23946,0039038,Ventura,Moorpark,43.0,Mainstream,719.0,66.96
24673,0005301,Ventura,Unincorporated,43.0,Mainstream,17.0,47.06
23529,0084100,Ventura,Simi Valley,43.0,Mainstream,316.0,63.49
23484,0007046,Ventura,Camarillo,43.0,Mainstream,445.0,71.36
23636,0092106,Ventura,Thousand Oaks,43.0,Mainstream,626.0,67.62
24458,0039000,Ventura,Moorpark,43.0,Mainstream,569.0,75.05
24557,0095012,Ventura,Unincorporated,44.0,Mainstream,12.0,66.67
24343,0084047,Ventura,Simi Valley,44.0,Mainstream,615.0,67.8
24350,0084046,Ventura,Simi Valley,44.0,Mainstream,671.0,70.58
23659,0006916,Ventura,Camarillo,44.0,Mainstream,188.0,67.05
24280,0084001,Ventura,Simi Valley,44.0,Mainstream,901.0,62.87
23747,0084051,Ventura,Simi Valley,44.0,Mainstream,671.0,70.24
23760,0092012,Ventura,Thousand Oaks,44.0,Mainstream,680.0,76.42
23755,0084055,Ventura,Simi Valley,44.0,Mainstream,646.0,68.17
23751,0084053,Ventura,Simi Valley,44.0,Mainstream,554.0,65.09
24008,0092077,Ventura,Thousand Oaks,44.0,Mainstream,82.0,58.67
23989,0092092,Ventura,Thousand Oaks,44.0,Mainstream,630.0,73.22
24030,0092086,Ventura,Thousand Oaks,44.0,Mainstream,395.0,53.23
23889,0092054,Ventura,Thousand Oaks,44.0,Mainstream,640.0,76.29
23854,0084095,Ventura,Simi Valley,44.0,Mainstream,445.0,71.19
23857,0084094,Ventura,Simi Valley,44.0,Mainstream,540.0,73.36
23898,0092069,Ventura,Thousand Oaks,44.0,Mainstream,684.0,71.39
24583,0092128,Ventura,Thousand Oaks,44.0,Mainstream,61.0,78.57
23838,0092005,Ventura,Thousand Oaks,45.0,Mainstream,488.0,73.28
24357,0084019,Ventura,Simi Valley,45.0,Mainstream,327.0,68.49
24742,0007040,Ventura,Camarillo,45.0,Mainstream,616.0,70.07
23882,0092050,Ventura,Thousand Oaks,45.0,Mainstream,766.0,76.92
23916,0039020,Ventura,Moorpark,45.0,Mainstream,702.0,70.51
20650,0070002A,Los Angeles,Unincorporated,45.0,Mainstream,75.0,78.79
23795,0092024,Ventura,Thousand Oaks,45.0,Mainstream,546.0,74.42
23757,0084054,Ventura,Simi Valley,45.0,Mainstream,748.0,74.65
24476,0039018,Ventura,Moorpark,45.0,Mainstream,733.0,70.81
24547,0092114,Ventura,Thousand Oaks,45.0,Mainstream,721.0,71.12
24425,0090008,Ventura,Simi Valley,45.0,Mainstream,45.0,70.0
23793,0092022,Ventura,Thousand Oaks,45.0,Mainstream,708.0,71.94
23680,0006912,Ventura,Camarillo,45.0,Mainstream,654.0,64.82
23762,0084056,Ventura,Simi Valley,45.0,Mainstream,659.0,71.23
23507,0084102,Ventura,Simi Valley,46.0,Mainstream,490.0,70.37
24531,0092118,Ventura,Thousand Oaks,46.0,Mainstream,447.0,79.14
